date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:03	24844/24844	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:19%20GMT	http://exprostudio.com/html/book_library/images/blog/img-01.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/blog/img-01.jpg	(from http://exprostudio.com/html/book_library/)
11:21:03	27567/27567	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:19%20GMT	http://exprostudio.com/html/book_library/images/blog/img-02.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/blog/img-02.jpg	(from http://exprostudio.com/html/book_library/)
11:21:04	22345/22345	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:19%20GMT	http://exprostudio.com/html/book_library/images/blog/img-03.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/blog/img-03.jpg	(from http://exprostudio.com/html/book_library/)
11:21:05	2858/2858	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:10%20GMT	http://exprostudio.com/html/book_library/images/author/imag-09.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/author/imag-09.jpg	(from http://exprostudio.com/html/book_library/)
11:21:05	8420/8420	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Oct%202017%2007:46:49%20GMT	http://exprostudio.com/html/book_library/images/flogo.png	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/flogo.png	(from http://exprostudio.com/html/book_library/)
11:21:05	3070/3070	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:10%20GMT	http://exprostudio.com/html/book_library/images/author/imag-10.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/author/imag-10.jpg	(from http://exprostudio.com/html/book_library/)
11:21:06	19928/19928	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:19%20GMT	http://exprostudio.com/html/book_library/images/blog/img-04.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/blog/img-04.jpg	(from http://exprostudio.com/html/book_library/)
11:21:06	3004/3004	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:10%20GMT	http://exprostudio.com/html/book_library/images/author/imag-11.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/author/imag-11.jpg	(from http://exprostudio.com/html/book_library/)
11:21:06	2514/2514	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Oct%202017%2007:46:53%20GMT	http://exprostudio.com/html/book_library/images/paymenticon.png	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/paymenticon.png	(from http://exprostudio.com/html/book_library/)
11:21:13	37051/37051	---M--	200	added ('OK')	application/javascript	date:Mon,%2009%20Oct%202017%2007:48:00%20GMT	http://exprostudio.com/html/book_library/js/vendor/bootstrap.min.js	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/js/vendor/bootstrap.min.js	(from http://exprostudio.com/html/book_library/)
